N,dOCV,dR0,dQ,dR1,dR2,bR,cR,dR,aR,bC,cC,dC,aC,Final_Capacity,Error
1.5,0.0001,3.2,-0.3,2.2,2.2,2213400,1632000,0.515833569,0.757824814576771,16152475.2347878,8728882.18407008,0.6011,0.744924665805446,169.30555555556,0
1.5,0.0001,3.2,-0.3,2.2,2.2,2213400,1632000,0.515833569,0.756345012935422,15024931.9544031,8700323.39610081,0.6011,0.749879842586967,175.69444444445,0
1.5,0.0001,3.2,-0.3,2.2,2.2,2213400,1632000,0.515833569,0.746283478527185,15389597.0290395,7692106.00316647,0.6011,0.753863810905623,162.91666666667,0
1.5,0.0001,3.2,-0.3,2.2,2.2,2213400,1632000,0.515833569,0.748448867155763,14367577.439977,7374867.06064572,0.6011,0.75333622239449,168.666666666671,0
1.5,0.0001,3.2,-0.3,2.2,2.2,2213400,1632000,0.515833569,0.748831528776923,16236209.2568664,8069101.64233882,0.6011,0.758556737365378,156.527777777781,0
1.5,0.0001,3.2,-0.3,2.2,2.2,2213400,1632000,0.515833569,0.747934514434486,15401831.6342208,9053202.05722133,0.6011,0.753357607575232,173.777777777783,0
1.5,0.0001,3.2,-0.3,2.2,2.2,2213400,1632000,0.515833569,0.731675631546359,14778346.6639421,8460789.83290295,0.6011,0.752365801835619,175.055555555561,0
1.5,0.0001,3.2,-0.3,2.2,2.2,2213400,1632000,0.515833569,0.746795078681359,13833362.8812459,8299048.36875104,0.6011,0.757091936488381,179.527777777784,0
1.5,0.0001,3.2,-0.3,2.2,2.2,2213400,1632000,0.515833569,0.752317952900721,14577942.3792445,8297319.07487215,0.6011,0.753214973299734,174.416666666672,0
1.5,0.0001,3.2,-0.3,2.2,2.2,2213400,1632000,0.515833569,0.768386814107131,14321629.0886161,8796582.62017328,0.6011,0.740065448041094,185.277777777785,0
1.5,0.0001,3.2,-0.3,2.2,2.2,2213400,1632000,0.515833569,0.739030289970403,14725192.9694739,8500683.53517712,0.6011,0.750823661400879,176.333333333339,0
1.5,0.0001,3.2,-0.3,2.2,2.2,2213400,1632000,0.515833569,0.745233438330676,15358788.2571388,8561446.64605088,0.6011,0.737589586023838,176.972222222228,0
1.5,0.0001,3.2,-0.3,2.2,2.2,2213400,1632000,0.515833569,0.747108953632812,15723036.7163785,7488408.92816829,0.6011,0.758330041278428,155.888888888892,0
1.5,0.0001,3.2,-0.3,2.2,2.2,2213400,1632000,0.515833569,0.742932918377818,15214479.2414798,8289731.69143196,0.6011,0.734191036928598,177.611111111117,0
1.5,0.0001,3.2,-0.3,2.2,2.2,2213400,1632000,0.515833569,0.744946701725755,15160191.4118768,8370523.05502835,0.6011,0.745876222996389,173.777777777783,0
1.5,0.0001,3.2,-0.3,2.2,2.2,2213400,1632000,0.515833569,0.735568170618275,15379779.4927838,8002901.06702476,0.6011,0.750706955584366,167.388888888893,0
1.5,0.0001,3.2,-0.3,2.2,2.2,2213400,1632000,0.515833569,0.749156867749094,17099769.6581848,8352904.26441685,0.6011,0.749713351502013,156.527777777781,0
1.5,0.0001,3.2,-0.3,2.2,2.2,2213400,1632000,0.515833569,0.746111179075703,15348149.138952,8110656.09446361,0.6011,0.76412195514196,161.638888888893,0
1.5,0.0001,3.2,-0.3,2.2,2.2,2213400,1632000,0.515833569,0.75401236877951,15203260.8598452,8726227.68456929,0.6011,0.750415955130376,174.416666666672,0
1.5,0.0001,3.2,-0.3,2.2,2.2,2213400,1632000,0.515833569,0.750430559181921,16288028.7556842,8123829.04068609,0.6011,0.745395823938992,163.555555555559,0
1.5,0.0001,3.2,-0.3,2.2,2.2,2213400,1632000,0.515833569,0.757993628680884,15164595.1124006,8908019.11713457,0.6011,0.754402624570086,174.416666666672,0
1.5,0.0001,3.2,-0.3,2.2,2.2,2213400,1632000,0.515833569,0.762155524574095,14588998.228002,8344669.38236964,0.6011,0.740949683192696,179.527777777784,0
1.5,0.0001,3.2,-0.3,2.2,2.2,2213400,1632000,0.515833569,0.750913902710408,15800439.7758072,8736943.80305943,0.6011,0.754089979020758,168.027777777782,0
1.5,0.0001,3.2,-0.3,2.2,2.2,2213400,1632000,0.515833569,0.740714693402818,14826846.4350031,9317855.42968694,0.6011,0.751881977878536,181.444444444451,0
1.5,0.0001,3.2,-0.3,2.2,2.2,2213400,1632000,0.515833569,0.751830941851562,15249556.4315587,8390442.19914641,0.6011,0.747054393994852,172.500000000005,0
