Cycle,Mean_Retention,CI95_Lower_Retention,CI95_Upper_Retention,Mean_Capacity,CI95_Lower_Capacity,CI95_Upper_Capacity
0,1,1,1,237.820000000025,237.820000000025,237.820000000025
1,0.997140957446808,0.996897163120567,0.997783687943262,237.140062500025,237.082083333358,237.292916666692
2,0.996121453900709,0.995567375886525,0.99645390070922,236.897604166692,236.765833333358,236.976666666692
3,0.995257092198581,0.99468085106383,0.996010638297872,236.692041666692,236.555000000025,236.871250000025
4,0.994570035460993,0.993794326241135,0.995567375886525,236.528645833358,236.344166666692,236.765833333358
5,0.993993794326241,0.992907801418439,0.99468085106383,236.391604166692,236.133333333358,236.555000000025
6,0.993395390070922,0.992464539007092,0.994237588652482,236.249291666692,236.027916666692,236.449583333358
7,0.99281914893617,0.991578014184397,0.993794326241135,236.112250000025,235.817083333358,236.344166666692
8,0.992375886524822,0.991134751773049,0.993351063829787,236.006833333358,235.711666666692,236.238750000025
9,0.992021276595744,0.990691489361702,0.993351063829787,235.922500000025,235.606250000025,236.238750000025
10,0.991600177304964,0.990248226950354,0.992907801418439,235.822354166692,235.500833333358,236.133333333358
11,0.991156914893617,0.989804964539007,0.992464539007092,235.716937500025,235.395416666692,236.027916666692
12,0.990735815602837,0.989361702127659,0.992021276595745,235.616791666692,235.290000000025,235.922500000025
13,0.990403368794326,0.988918439716312,0.992021276595745,235.537729166692,235.184583333358,235.922500000025
14,0.990070921985815,0.988475177304964,0.991578014184397,235.458666666692,235.079166666692,235.817083333358
15,0.989671985815603,0.988031914893617,0.991134751773049,235.363791666692,234.973750000025,235.711666666692
16,0.989361702127659,0.987588652482269,0.991134751773049,235.290000000025,234.868333333358,235.711666666692
17,0.989073581560283,0.987145390070922,0.990691489361702,235.221479166692,234.762916666691,235.606250000025
18,0.988718971631205,0.986702127659574,0.990248226950354,235.137145833358,234.657500000025,235.500833333358
19,0.98843085106383,0.986702127659574,0.990248226950354,235.068625000025,234.657500000025,235.500833333358
20,0.988164893617021,0.986258865248227,0.989804964539007,235.005375000025,234.552083333358,235.395416666692
21,0.987876773049645,0.985815602836879,0.989804964539007,234.936854166692,234.446666666691,235.395416666692
22,0.987610815602836,0.985372340425532,0.989361702127659,234.873604166692,234.341250000025,235.290000000025
23,0.987278368794326,0.985372340425532,0.989361702127659,234.794541666691,234.341250000025,235.290000000025
24,0.987012411347517,0.984929078014184,0.988918439716312,234.731291666691,234.235833333358,235.184583333358
25,0.986790780141844,0.984485815602837,0.988918439716312,234.678583333358,234.130416666691,235.184583333358
26,0.986458333333333,0.984485815602837,0.988475177304964,234.599520833358,234.130416666691,235.079166666692
27,0.986303191489361,0.984042553191489,0.988475177304964,234.562625000025,234.025000000025,235.079166666692
28,0.985948581560283,0.983599290780142,0.988031914893617,234.478291666691,233.919583333358,234.973750000025
29,0.985815602836879,0.983599290780142,0.988031914893617,234.446666666691,233.919583333358,234.973750000025
30,0.985505319148936,0.983156028368794,0.987588652482269,234.372875000025,233.814166666691,234.868333333358
31,0.985283687943262,0.982712765957446,0.987588652482269,234.320166666691,233.708750000025,234.868333333358
32,0.985062056737588,0.982712765957446,0.987145390070922,234.267458333358,233.708750000025,234.762916666691
33,0.984818262411347,0.982269503546099,0.987145390070922,234.209479166691,233.603333333358,234.762916666691
34,0.984663120567376,0.981826241134751,0.987145390070922,234.172583333358,233.497916666691,234.762916666691
35,0.984375,0.981826241134751,0.986702127659574,234.104062500025,233.497916666691,234.657500000025
36,0.984242021276595,0.981382978723404,0.986702127659574,234.072437500025,233.392500000025,234.657500000025
37,0.983953900709219,0.981382978723404,0.986258865248227,234.003916666691,233.392500000025,234.552083333358
38,0.983798758865248,0.980939716312056,0.986258865248227,233.967020833358,233.287083333358,234.552083333358
39,0.983532801418439,0.980939716312056,0.985815602836879,233.903770833358,233.287083333358,234.446666666691
40,0.983377659574468,0.980496453900709,0.985815602836879,233.866875000025,233.181666666691,234.446666666691
41,0.983156028368794,0.980496453900709,0.985815602836879,233.814166666691,233.181666666691,234.446666666691
42,0.982956560283688,0.980053191489361,0.985372340425532,233.766729166691,233.076250000025,234.341250000025
43,0.982757092198581,0.980053191489361,0.985372340425532,233.719291666691,233.076250000025,234.341250000025
44,0.982535460992908,0.979609929078014,0.985372340425532,233.666583333358,232.970833333358,234.341250000025
45,0.982358156028369,0.979609929078014,0.984929078014184,233.624416666691,232.970833333358,234.235833333358
46,0.982180851063829,0.979166666666666,0.984929078014184,233.582250000025,232.865416666691,234.235833333358
47,0.981959219858155,0.979166666666666,0.984485815602837,233.529541666691,232.865416666691,234.130416666691
48,0.981804078014184,0.978723404255319,0.984485815602837,233.492645833358,232.760000000025,234.130416666691
49,0.981604609929078,0.978723404255319,0.984485815602837,233.445208333358,232.760000000025,234.130416666691
50,0.981382978723404,0.978280141843971,0.984042553191489,233.392500000025,232.654583333358,234.025000000025
51,0.981272163120567,0.978280141843971,0.984042553191489,233.366145833358,232.654583333358,234.025000000025
52,0.981072695035461,0.977836879432624,0.984042553191489,233.318708333358,232.549166666691,234.025000000025
53,0.980851063829787,0.977836879432624,0.983599290780142,233.266000000025,232.549166666691,233.919583333358
54,0.98074024822695,0.977393617021276,0.983599290780142,233.239645833358,232.443750000025,233.919583333358
55,0.980518617021276,0.977393617021276,0.983599290780142,233.186937500025,232.443750000025,233.919583333358
56,0.980363475177305,0.976950354609929,0.983156028368794,233.150041666691,232.338333333358,233.814166666691
57,0.980164007092198,0.976950354609929,0.983156028368794,233.102604166691,232.338333333358,233.814166666691
58,0.979986702127659,0.976507092198581,0.983156028368794,233.060437500025,232.232916666691,233.814166666691
59,0.979875886524822,0.976507092198581,0.982712765957446,233.034083333358,232.232916666691,233.708750000025
60,0.979587765957447,0.976063829787233,0.982712765957446,232.965562500025,232.127500000024,233.708750000025
61,0.979499113475177,0.976063829787233,0.982712765957446,232.944479166691,232.127500000024,233.708750000025
62,0.979366134751773,0.976063829787233,0.982269503546099,232.912854166691,232.127500000024,233.603333333358
63,0.979122340425532,0.975620567375886,0.982269503546099,232.854875000025,232.022083333358,233.603333333358
64,0.97905585106383,0.975620567375886,0.982269503546099,232.839062500025,232.022083333358,233.603333333358
65,0.97887854609929,0.975177304964538,0.982269503546099,232.796895833358,231.916666666691,233.603333333358
66,0.978656914893617,0.975177304964538,0.981826241134751,232.744187500025,231.916666666691,233.497916666691
67,0.97854609929078,0.974734042553191,0.981826241134751,232.717833333358,231.811250000024,233.497916666691
68,0.978413120567376,0.974734042553191,0.981826241134751,232.686208333358,231.811250000024,233.497916666691
69,0.978191489361702,0.974734042553191,0.981382978723404,232.633500000025,231.811250000024,233.392500000025
70,0.97803634751773,0.974290780141843,0.981382978723404,232.596604166691,231.705833333358,233.392500000025
71,0.977925531914893,0.974290780141843,0.981382978723404,232.570250000025,231.705833333358,233.392500000025
72,0.977770390070922,0.973847517730496,0.980939716312056,232.533354166691,231.600416666691,233.287083333358
73,0.977593085106383,0.973847517730496,0.980939716312056,232.491187500025,231.600416666691,233.287083333358
74,0.977482269503546,0.973847517730496,0.980939716312056,232.464833333358,231.600416666691,233.287083333358
75,0.977371453900709,0.973404255319148,0.980939716312056,232.438479166691,231.495000000024,233.287083333358
76,0.977127659574468,0.973404255319148,0.980496453900709,232.380500000025,231.495000000024,233.181666666691
77,0.977016843971631,0.972960992907801,0.980496453900709,232.354145833358,231.389583333358,233.181666666691
78,0.976883865248227,0.972960992907801,0.980496453900709,232.322520833358,231.389583333358,233.181666666691
79,0.97668439716312,0.972960992907801,0.980053191489361,232.275083333358,231.389583333358,233.076250000025
80,0.976551418439716,0.972517730496453,0.980053191489361,232.243458333358,231.284166666691,233.076250000025
81,0.976440602836879,0.972517730496453,0.980053191489361,232.217104166691,231.284166666691,233.076250000025
82,0.976329787234042,0.972517730496453,0.980053191489361,232.190750000025,231.284166666691,233.076250000025
83,0.976108156028368,0.972074468085106,0.979609929078014,232.138041666691,231.178750000024,232.970833333358
84,0.976019503546099,0.972074468085106,0.979609929078014,232.116958333358,231.178750000024,232.970833333358
85,0.975908687943262,0.971631205673758,0.979609929078014,232.090604166691,231.073333333358,232.970833333358
86,0.975664893617021,0.971631205673758,0.979609929078014,232.032625000025,231.073333333358,232.970833333358
87,0.975576241134751,0.971631205673758,0.979166666666666,232.011541666691,231.073333333358,232.865416666691
88,0.975487588652482,0.971187943262411,0.979166666666666,231.990458333358,230.967916666691,232.865416666691
89,0.975288120567376,0.971187943262411,0.979166666666666,231.943020833358,230.967916666691,232.865416666691
90,0.975155141843971,0.971187943262411,0.978723404255319,231.911395833358,230.967916666691,232.760000000025
91,0.975088652482269,0.970744680851063,0.978723404255319,231.895583333358,230.862500000024,232.760000000025
92,0.974933510638298,0.970744680851063,0.978723404255319,231.858687500024,230.862500000024,232.760000000025
93,0.974734042553191,0.970744680851063,0.978723404255319,231.811250000024,230.862500000024,232.760000000025
94,0.974667553191489,0.970301418439716,0.978280141843971,231.795437500024,230.757083333358,232.654583333358
95,0.974556737588652,0.970301418439716,0.978280141843971,231.769083333358,230.757083333358,232.654583333358
96,0.974357269503546,0.969858156028368,0.978280141843971,231.721645833358,230.651666666691,232.654583333358
97,0.974246453900709,0.969858156028368,0.978280141843971,231.695291666691,230.651666666691,232.654583333358
98,0.974113475177304,0.969858156028368,0.977836879432624,231.663666666691,230.651666666691,232.549166666691
99,0.974002659574468,0.969414893617021,0.977836879432624,231.637312500024,230.546250000024,232.549166666691
100,0.973869680851063,0.969414893617021,0.977836879432624,231.605687500024,230.546250000024,232.549166666691
101,0.973736702127659,0.969414893617021,0.977836879432624,231.574062500024,230.546250000024,232.549166666691
